"bureau","inscrits","votants","blancs","exprimes","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÃ‰LENCHON","POUTOU"
"1651","1605","1320","3","1315","0","3","2","11","879","18","5","38","293","63","3"
"1652","1566","1312","13","1295","0","2","0","12","787","47","3","44","322","77","1"
"1653","1422","1208","3","1203","0","4","1","16","779","16","2","55","282","47","1"
"1654","1389","1164","7","1156","0","3","0","10","720","26","4","34","301","57","1"
"1655","1494","1260","7","1250","0","3","0","14","817","27","4","53","287","44","1"
"1656","1440","1196","2","1189","1","1","0","10","848","24","2","41","226","36","0"
"1657","1462","1213","6","1203","1","8","1","17","751","31","1","43","285","60","5"
"1658","1481","1275","9","1263","1","4","1","12","851","16","6","39","304","28","1"
"1659","1442","1247","1","1241","2","4","1","12","847","19","6","33","282","34","1"
"1660","1442","1222","8","1209","0","4","0","10","844","20","3","27","271","30","0"
"1661","1348","1147","10","1136","4","3","2","4","717","24","3","56","275","46","2"
"1662","1426","1233","10","1220","0","10","1","13","720","40","4","44","324","64","0"
"1663","1434","1237","8","1227","1","6","0","10","677","30","6","55","369","69","4"
"1664","1221","1004","7","996","1","4","1","12","601","26","3","38","251","56","3"
"1665","1353","1138","6","1130","0","9","1","27","688","33","4","45","279","41","3"
"1666","1209","1000","6","993","0","3","0","7","565","25","4","47","298","42","2"
"1667","1328","1078","7","1070","0","4","2","11","684","25","2","40","260","41","1"
"1668","1351","1080","7","1068","1","7","1","14","626","18","4","67","268","61","1"
"1701","1389","1208","6","1200","1","7","4","15","323","103","3","50","505","185","4"
"1702","1423","1228","16","1206","0","8","1","20","365","107","7","24","521","148","5"
"1703","1480","1301","12","1287","2","10","0","12","341","127","6","44","534","199","12"
"1704","1518","1302","11","1289","3","7","2","13","285","134","9","62","541","228","5"
"1705","1430","1240","5","1232","2","7","0","15","377","113","9","47","521","135","6"
"1706","1426","1227","8","1217","1","5","2","18","447","67","6","31","499","138","3"
"1707","1451","1279","15","1264","2","7","5","17","394","120","2","32","526","154","5"
"1708","1510","1324","15","1305","1","0","2","24","403","93","5","45","592","135","5"
"1709","1605","1429","16","1406","0","5","0","22","391","130","6","50","630","168","4"
"1710","1383","1194","15","1176","2","9","1","16","410","80","8","27","494","123","6"
"1711","1432","1268","13","1252","0","5","3","23","442","93","4","25","517","138","2"
"1712","1493","1322","12","1308","1","5","1","28","484","96","6","40","534","110","3"
"1713","1563","1322","20","1297","4","6","1","19","395","98","4","56","554","154","6"
"1714","1556","1329","7","1322","1","11","5","22","555","82","4","43","461","135","3"
"1715","1450","1256","11","1241","0","13","0","22","531","55","12","65","405","135","3"
"1716","1538","1246","15","1230","8","11","0","40","242","119","5","89","382","322","12"
"1717","1480","1203","13","1184","5","15","4","24","287","104","8","75","368","287","7"
"1718","1403","1086","14","1060","4","15","2","24","196","115","6","86","319","280","13"
"1719","1232","861","16","839","3","13","0","26","119","64","4","77","238","287","8"
"1720","1308","952","12","934","5","28","2","29","143","99","4","101","264","246","13"
"1721","1378","1103","14","1084","3","9","3","24","228","119","6","65","376","245","6"
"1722","1211","1016","4","1007","3","7","3","37","179","120","7","61","367","218","5"
"1723","1362","965","23","931","1","14","4","29","123","90","7","107","210","338","8"
"1724","1151","973","10","958","3","6","2","16","200","102","3","49","380","187","10"
"1725","1615","1360","12","1344","3","9","4","30","217","136","3","98","448","383","13"
"1726","1444","1200","22","1178","2","8","3","21","190","156","4","55","467","260","12"
"1727","1561","1215","16","1188","5","23","2","36","191","135","5","84","395","303","9"
"1728","1595","1343","10","1327","5","11","3","23","355","108","10","72","504","232","4"
"1729","1717","1474","9","1460","3","9","1","11","274","192","6","85","567","301","11"
"1730","1377","1183","8","1173","4","13","2","28","254","135","7","41","447","234","8"
"1731","1380","1156","10","1145","6","12","1","13","261","112","6","60","468","199","7"
"1732","1499","1278","14","1261","8","11","0","13","291","132","4","62","500","228","12"
"1733","1455","1237","7","1227","2","12","2","18","231","157","5","55","497","241","7"
"1734","1414","1237","6","1228","6","7","1","15","259","153","5","52","496","229","5"
"1735","1313","1129","17","1109","3","6","2","13","262","127","7","33","471","178","7"
"1736","1463","1183","15","1166","1","14","1","27","297","101","4","118","348","252","3"
"1737","1485","1292","6","1284","1","8","1","15","756","38","2","49","341","70","3"
"1738","1446","1205","18","1183","5","9","5","25","415","74","10","106","323","206","5"
"1739","1437","1122","23","1092","5","16","2","44","210","95","14","135","251","308","12"
"1740","1472","1275","10","1261","1","8","1","24","563","82","9","77","342","148","6"
"1741","1532","1331","8","1322","2","8","2","19","722","51","1","48","387","80","2"
"1742","1561","1380","4","1373","2","2","0","16","858","35","2","29","379","50","0"
"1743","1436","1247","7","1236","1","2","1","13","739","36","2","32","368","39","3"
"1744","1504","1335","1","1332","0","4","1","17","747","49","3","40","407","60","4"
"1745","1494","1293","5","1287","0","1","0","13","641","42","3","38","465","82","2"
"1746","1476","1311","9","1298","3","4","1","11","547","88","7","46","471","119","1"
"1747","1416","1270","4","1266","0","3","1","13","722","35","12","41","385","51","3"
"1748","1313","1147","4","1139","2","2","0","9","656","40","1","39","328","62","0"
"1749","1351","1187","7","1178","0","3","1","8","638","46","4","46","380","51","1"
"1750","1407","1263","3","1256","0","5","1","13","729","34","8","22","399","44","1"
"1751","1379","1208","5","1200","0","2","0","11","696","21","7","31","380","49","3"
"1752","1464","1283","9","1269","3","3","1","11","689","39","6","31","401","80","5"
"1753","1594","1392","7","1376","1","14","1","25","713","55","7","72","405","81","2"
"1754","1550","1341","8","1332","1","0","0","11","704","71","7","50","415","73","0"
"1755","1579","1421","13","1402","3","9","2","14","739","42","11","50","446","84","2"
"1756","1659","1429","12","1414","0","6","0","20","624","62","4","54","521","118","5"
"1757","1486","1219","13","1204","0","10","2","23","483","64","7","96","325","190","4"
"1758","1462","1222","19","1200","3","9","4","36","495","62","6","105","312","164","4"
"1759","1554","1297","7","1283","0","6","1","21","674","58","4","73","348","93","5"
"1760","1481","1269","10","1259","2","11","0","21","668","54","6","37","379","79","2"
"1761","1474","1286","12","1273","1","1","1","15","691","27","3","46","410","78","0"
"1762","1481","1290","13","1272","2","4","1","19","674","50","4","32","416","69","1"
"1763","1490","1269","4","1263","2","7","0","22","629","49","5","34","430","83","2"
"1764","1453","1267","3","1262","1","3","2","17","675","55","1","39","384","83","2"
"1765","1369","1184","8","1174","0","3","2","13","662","37","4","26","372","54","1"
"1766","1591","1368","16","1349","0","7","4","15","646","48","4","54","464","104","3"
"1767","1617","1422","14","1408","1","5","0","10","756","56","3","42","443","90","2"
"1801","1550","1282","11","1270","2","11","2","27","211","182","8","55","496","264","12"
"1802","1488","1263","18","1239","2","6","5","16","229","164","6","41","510","252","8"
"1803","1520","1303","11","1287","2","14","1","21","334","132","8","66","493","210","6"
"1804","1779","1487","10","1470","4","14","2","24","233","203","12","83","565","316","14"
"1805","1245","1069","7","1061","1","7","2","21","169","134","6","45","436","234","6"
"1806","1499","1283","9","1270","6","11","3","17","178","196","8","53","483","303","12"
"1807","1378","1151","10","1139","3","6","3","14","139","177","7","52","417","305","16"
"1808","1352","1126","7","1116","2","7","0","15","169","161","7","45","397","304","9"
"1809","1605","1376","21","1349","4","7","2","16","199","225","6","66","486","334","4"
"1810","1614","1334","26","1303","4","11","1","30","138","208","4","53","464","378","12"
"1811","1542","1271","12","1254","4","9","5","15","185","211","7","64","401","343","10"
"1812","1596","1180","19","1153","6","15","1","29","93","147","6","144","306","396","10"
"1813","1130","835","16","815","6","12","3","16","91","80","2","61","207","320","17"
"1814","1815","1446","14","1422","8","24","5","14","162","199","6","75","409","506","14"
"1815","1418","1182","18","1161","4","11","4","16","144","186","5","63","348","371","9"
"1816","1550","1240","10","1226","6","12","2","20","125","168","9","99","352","420","13"
"1817","1783","1470","16","1447","4","16","2","14","127","222","10","59","476","501","16"
"1818","1755","1490","14","1471","8","11","3","27","149","243","5","42","508","453","22"
"1819","1718","1444","12","1421","1","11","4","20","136","218","15","70","486","440","20"
"1820","1641","1361","21","1333","6","13","4","18","151","217","8","46","506","359","5"
"1821","1584","1344","19","1322","3","9","1","13","170","213","7","47","500","347","12"
"1822","1417","1178","19","1153","0","9","3","17","177","177","2","45","464","248","11"
"1823","1436","1207","11","1194","4","5","2","12","222","127","9","47","502","259","5"
"1824","1507","1274","8","1263","1","8","1","16","227","166","7","40","481","306","10"
"1825","1424","1279","7","1266","2","9","3","15","375","124","7","37","496","195","3"
"1826","1467","1232","14","1212","2","10","0","20","163","187","6","48","473","289","14"
"1827","1442","1210","13","1191","1","7","0","20","167","175","6","48","477","280","10"
"1828","1736","1508","17","1489","5","15","3","20","311","175","10","47","604","289","10"
"1829","1605","1399","15","1382","1","11","2","20","291","151","8","53","563","269","13"
"1830","1708","1472","19","1451","3","8","2","25","272","192","8","42","586","305","8"
"1831","1731","1508","15","1492","5","7","2","23","268","193","7","63","586","323","15"
"1832","1605","1351","14","1331","6","8","4","20","280","152","6","73","475","301","6"
"1833","1658","1379","9","1366","6","22","5","22","260","161","7","82","493","299","9"
"1834","1771","1470","18","1448","2","15","5","17","274","144","9","80","544","345","13"
"1835","1511","1333","14","1315","3","10","2","20","344","121","15","37","527","231","5"
"1836","1504","1308","13","1293","2","4","1","17","222","163","9","49","565","251","10"
"1837","1583","1351","18","1329","2","14","3","14","308","161","4","49","533","235","6"
"1838","1598","1355","15","1335","3","6","0","24","214","187","6","83","499","305","8"
"1839","1714","1466","18","1447","6","7","1","28","277","189","11","60","483","377","8"
"1840","1617","1396","15","1373","2","6","1","27","298","148","7","72","551","251","10"
"1841","1644","1326","15","1309","4","10","4","26","235","148","9","99","439","325","10"
"1842","1631","1289","24","1256","1","18","3","27","192","162","13","94","337","392","17"
"1843","1716","1361","22","1335","7","8","3","40","233","145","4","97","450","343","5"
"1844","1347","932","15","910","8","18","2","22","82","77","2","131","216","333","19"
"1845","1506","1175","14","1150","6","13","0","34","124","155","3","89","324","392","10"
"1846","1418","1204","9","1189","3","11","2","21","234","135","3","61","415","298","6"
"1847","1301","1098","8","1087","2","8","2","12","169","154","6","48","413","265","8"
"1848","1264","1054","14","1036","7","8","2","21","126","172","9","52","289","334","16"
"1849","1112","755","17","730","5","11","3","10","64","72","5","100","155","303","2"
"1850","1054","772","18","745","2","9","0","16","68","68","6","123","154","286","13"
"1851","1550","1099","29","1060","4","17","1","8","102","116","8","87","254","445","18"
"1852","1700","1352","15","1330","6","16","2","20","158","196","9","71","401","436","15"
"1853","1321","1067","7","1055","6","8","4","23","115","134","4","56","314","382","9"
"1854","1290","1022","17","997","5","7","3","14","91","138","3","58","276","394","8"
"1855","1488","1188","14","1165","6","16","2","15","96","209","5","49","254","502","11"
"1856","1752","1221","17","1191","2","17","1","9","64","140","3","38","313","591","13"
"1857","1750","1329","11","1308","3","12","1","10","96","221","7","46","347","552","13"
"1858","1647","1251","17","1224","3","19","1","19","112","183","5","65","334","463","20"
"1859","1640","1266","17","1237","6","15","1","19","94","187","3","84","335","479","14"
"1860","1657","1372","12","1356","9","11","4","24","145","199","8","89","422","436","9"
"1861","1694","1371","15","1346","4","13","0","22","136","194","8","61","450","449","9"
"1862","1598","1210","13","1194","2","11","4","17","124","177","6","71","312","456","14"
"1863","1739","1320","17","1294","5","21","0","26","180","143","9","126","333","439","12"
"1864","1762","1294","17","1270","7","23","1","15","120","145","10","102","326","502","19"
"1865","1774","1201","32","1152","1","29","1","27","145","116","2","158","279","376","18"
"1866","1405","1185","6","1176","3","11","0","12","207","145","6","49","476","261","6"
"1867","1371","1132","10","1119","2","16","2","21","159","163","1","52","379","304","20"
"1868","1268","1037","11","1019","4","13","1","13","69","138","6","55","292","415","13"
"1901","1546","1218","11","1203","2","11","1","11","235","139","6","78","372","338","10"
"1902","1430","1177","27","1147","5","5","1","23","152","165","7","61","368","350","10"
"1903","1135","911","9","895","7","17","1","16","182","111","6","59","250","238","8"
"1904","1275","1006","15","989","4","5","1","12","162","170","7","52","282","287","7"
"1905","1309","1039","1","1033","3","10","1","17","244","119","7","37","334","256","5"
"1906","1386","1131","8","1121","2","3","1","15","231","129","6","61","366","295","12"
"1907","1357","1072","11","1060","1","5","0","16","323","121","9","33","348","196","8"
"1908","1377","1004","14","982","3","10","2","21","158","138","5","80","246","308","11"
"1909","1628","1308","13","1290","3","16","1","27","203","170","5","51","418","385","11"
"1910","1602","1341","12","1325","6","6","1","17","216","212","7","60","430","360","10"
"1911","1523","1254","13","1236","5","6","3","17","247","173","7","35","425","312","6"
"1912","1587","1365","22","1336","5","7","0","20","149","234","8","45","454","399","15"
"1913","1670","1419","7","1407","5","5","3","17","231","245","6","53","456","378","8"
"1914","1652","1326","12","1309","3","10","2","21","173","193","10","49","395","442","11"
"1915","1437","1254","12","1233","4","12","0","10","145","215","8","48","430","355","6"
"1916","1587","1347","8","1339","4","6","1","18","246","181","3","53","469","347","11"
"1917","1484","1272","9","1256","6","16","1","17","270","147","6","51","425","306","11"
"1918","766","565","4","550","1","3","2","19","90","53","2","49","144","186","1"
"1919","1208","892","14","869","6","13","1","24","105","102","1","94","191","322","10"
"1920","1466","1084","21","1050","2","10","2","14","159","140","9","112","261","334","7"
"1921","1565","1284","11","1269","3","9","0","21","220","182","4","62","320","437","11"
"1922","1422","1032","14","1013","8","27","1","18","134","94","6","74","250","390","11"
"1923","1512","1164","15","1143","5","10","3","15","178","153","8","80","345","335","11"
"1924","1521","1155","13","1138","3","7","2","21","311","129","7","53","302","289","14"
"1925","1545","1255","17","1233","4","11","0","18","283","169","9","54","385","293","7"
"1926","1428","1128","15","1110","4","8","2","21","265","137","4","48","330","283","8"
"1927","1683","1376","13","1357","7","12","2","33","216","181","3","71","370","443","19"
"1928","1639","1366","6","1351","5","4","1","15","226","182","6","52","467","389","4"
"1929","1404","1134","20","1105","5","17","1","10","166","123","6","67","318","381","11"
"1930","1525","1274","10","1262","2","5","1","17","265","176","0","61","417","316","2"
"1931","1419","1169","15","1150","10","14","4","14","134","181","4","40","369","370","10"
"1932","1425","1224","12","1207","3","7","1","24","161","201","10","36","411","344","9"
"1933","1390","1052","12","1032","10","3","3","24","170","124","6","62","285","340","5"
"1934","1248","1026","14","1005","7","6","0","24","142","132","12","61","341","275","5"
"1935","1089","837","15","815","6","12","0","11","96","98","5","58","234","285","10"
"1936","1360","1045","7","1031","5","6","1","17","166","142","4","75","262","340","13"
"1937","1365","1065","15","1046","10","13","1","29","134","102","3","90","297","357","10"
"1938","1366","1073","8","1059","3","11","2","26","127","148","7","55","279","388","13"
"1939","1453","1152","12","1137","5","3","3","23","180","136","8","66","376","326","11"
"1940","1378","1066","7","1054","4","19","2","21","157","127","11","96","260","349","8"
"1941","1385","1046","22","1018","7","8","0","24","171","109","5","87","295","308","4"
"1942","1235","823","11","805","7","9","0","15","98","98","1","88","189","283","17"
"1943","1427","907","13","888","6","16","1","12","128","110","6","94","188","318","9"
"1944","1489","1077","22","1042","10","17","4","18","216","106","2","92","284","280","13"
"1945","1533","1174","15","1150","9","12","3","14","139","131","4","96","302","433","7"
"1946","1746","1401","24","1366","6","8","2","28","249","187","3","62","412","402","7"
"1947","1765","1465","12","1450","9","15","0","27","228","176","7","73","495","404","16"
"1948","1740","1392","10","1380","3","12","3","22","189","193","10","71","389","474","14"
"1949","1559","1228","10","1212","3","24","1","15","143","155","4","67","331","462","7"
"1950","1976","1579","23","1552","7","24","7","17","128","183","8","97","473","592","16"
"1951","1487","1099","26","1062","3","11","2","21","233","102","4","66","297","318","5"
"1952","1501","1151","13","1135","8","14","0","32","156","150","4","69","355","336","11"
"1953","1431","1090","19","1062","6","9","4","26","212","102","5","69","331","286","12"
"1954","1503","1211","10","1185","5","10","3","18","211","149","8","86","344","338","13"
"1955","1444","1057","18","1031","4","18","2","27","148","103","10","88","264","360","7"
"1956","1419","1084","12","1061","7","12","1","17","155","121","1","94","273","366","14"
"1957","1373","975","11","959","7","14","0","11","159","92","4","77","250","334","11"
"1958","1571","1320","11","1303","10","16","0","19","167","201","7","57","378","441","7"
"1959","1578","1252","25","1216","6","12","2","14","196","169","7","61","375","366","8"
"1960","1574","1254","13","1234","1","14","1","21","168","176","9","48","388","394","14"
"1961","1469","1190","22","1161","3","16","4","26","139","192","4","53","330","386","8"
"1962","1556","1230","18","1209","6","18","2","18","191","146","8","65","348","393","14"
"1963","1440","1141","9","1123","6","14","0","21","246","110","5","65","351","293","12"
"1964","1562","1211","7","1196","3","9","6","14","212","142","9","62","320","403","16"
"1965","1491","1206","11","1187","6","9","5","24","277","136","7","51","341","324","7"
"1966","1515","1206","4","1195","7","11","4","21","204","173","5","71","368","316","15"
"1967","1547","1206","10","1186","6","18","2","10","85","171","6","68","303","504","13"
"1968","1492","1084","16","1064","3","11","1","17","223","92","3","82","318","306","8"
"1969","1545","1127","6","1106","2","12","3","17","149","149","3","55","298","404","14"
"1970","1291","999","16","980","3","8","1","14","105","154","3","66","306","307","13"
"2001","1335","1116","9","1104","2","11","1","23","162","190","4","60","351","289","11"
"2002","1119","946","2","944","1","5","1","24","169","140","4","42","322","227","9"
"2003","1448","1199","24","1173","1","15","1","24","145","180","8","57","383","349","10"
"2004","1375","1173","11","1155","5","7","5","25","143","174","6","53","385","340","12"
"2005","1421","1210","12","1197","5","7","1","22","197","179","5","38","426","308","9"
"2006","1359","1107","8","1098","6","7","1","19","160","158","9","52","354","325","7"
"2007","1322","1100","5","1088","2","10","3","26","159","146","6","49","393","280","14"
"2008","1264","1087","10","1077","6","9","4","12","107","167","2","38","413","311","8"
"2009","1540","1212","0","1200","8","16","3","12","113","147","7","53","380","442","19"
"2010","1343","1003","11","984","3","18","1","24","103","120","7","73","266","353","16"
"2011","1572","1215","18","1192","10","16","3","18","107","163","6","59","276","522","12"
"2012","1331","1116","8","1103","2","12","2","15","113","177","6","47","382","336","11"
"2013","1424","1200","12","1182","3","20","0","13","109","196","2","46","383","395","15"
"2014","1511","1253","14","1236","7","11","5","13","121","197","9","48","410","397","18"
"2015","1422","1189","9","1172","8","4","2","26","132","171","7","71","369","366","16"
"2016","1542","1324","15","1306","5","8","0","22","254","179","6","60","410","352","10"
"2017","1546","1221","16","1194","5","12","0","24","151","149","9","76","342","414","12"
"2018","1428","1073","14","1049","5","11","2","17","137","126","8","100","265","364","14"
"2019","1440","1244","12","1225","7","11","0","27","220","150","12","83","400","300","15"
"2020","1553","1216","16","1197","9","11","1","16","144","150","7","100","331","408","20"
"2021","1576","1187","19","1164","2","17","3","37","157","125","5","129","369","312","8"
"2022","1547","1233","10","1217","5","8","2","31","240","137","7","67","402","310","8"
"2023","1584","1330","20","1307","3","5","4","42","291","137","4","81","452","278","10"
"2024","1500","1256","8","1246","2","9","2","26","221","190","6","64","420","298","8"
"2025","1524","1312","16","1292","5","11","1","25","146","197","7","62","407","422","9"
"2026","1363","1103","9","1092","4","7","2","11","134","152","4","69","284","412","13"
"2027","1357","1105","11","1092","4","9","2","22","173","152","4","48","375","297","6"
"2028","1502","1178","16","1154","8","10","1","29","240","125","13","85","363","269","11"
"2029","1515","1257","15","1237","3","5","2","31","200","157","7","67","368","378","19"
"2030","1671","1219","11","1193","9","23","1","18","118","126","4","135","246","498","15"
"2031","1601","1223","19","1198","7","13","3","25","178","140","8","100","317","393","14"
"2032","1540","1245","13","1227","1","9","1","37","202","151","6","79","386","347","8"
"2033","1440","1024","20","982","5","16","2","23","103","109","7","139","240","332","6"
"2034","1385","1074","18","1047","8","22","1","25","130","117","6","116","257","354","11"
"2035","1408","1007","20","972","6","10","5","21","103","99","6","135","240","339","8"
"2036","1228","935","15","917","6","16","2","13","94","92","4","81","284","314","11"
"2037","1513","1172","15","1152","5","17","2","20","138","164","7","63","305","416","15"
"2038","1435","1119","17","1097","3","12","2","30","100","158","7","77","322","369","17"
"2039","1381","998","15","979","4","14","3","26","108","90","5","109","256","350","14"
"2040","1447","1132","17","1113","2","9","2","19","171","156","9","78","316","334","17"
"2041","1546","1170","19","1143","4","20","1","30","136","142","11","102","322","362","13"
"2042","1468","1205","17","1185","6","14","2","26","163","159","6","76","378","345","10"
"2043","1705","1439","13","1419","6","11","1","35","173","207","12","55","440","466","13"
"2044","1833","1480","27","1450","7","15","3","37","162","205","5","66","437","498","15"
"2045","1795","1486","16","1465","4","14","3","20","179","217","5","68","451","488","16"
"2046","1530","1235","7","1213","1","18","2","24","178","163","4","54","395","368","6"
"2047","1598","1287","15","1267","7","12","1","26","138","205","8","60","396","401","13"
"2048","1707","1452","21","1421","5","8","0","17","173","264","9","61","474","397","13"
"2049","1800","1502","22","1475","4","10","1","29","170","248","5","60","517","421","10"
"2050","1698","1460","14","1442","0","17","6","22","220","225","9","61","539","336","7"
"2051","1724","1473","13","1456","4","10","1","24","278","189","7","81","522","332","8"
"2052","1348","1135","11","1119","3","5","1","30","159","159","7","77","374","290","14"
"2053","1372","1170","18","1150","5","7","4","28","196","165","5","53","401","281","5"
"2054","1491","1104","20","1072","12","24","1","18","115","139","5","90","244","408","16"
"2055","1459","1109","24","1065","9","16","2","32","131","112","9","130","286","330","8"
"2056","1374","1043","16","1019","4","18","1","19","180","103","8","74","295","305","12"
"2057","1405","1166","12","1150","5","5","2","24","223","127","4","41","409","303","7"
"2058","1605","1369","19","1341","4","11","2","16","147","244","3","43","454","402","15"
"2059","1689","1418","11","1402","1","5","2","21","171","208","8","59","478","433","16"
"2060","1326","1116","12","1098","4","2","0","21","155","166","3","48","376","308","15"
"2061","1388","1137","8","1126","5","8","0","13","113","176","6","52","361","384","8"
"2062","1473","1158","13","1134","10","11","1","21","114","164","5","82","279","429","18"
"2063","1420","1075","20","1050","3","14","2","22","87","126","6","89","285","403","13"
"2064","1184","949","7","940","3","7","1","19","123","145","2","60","312","264","4"
"2065","1234","1052","12","1037","3","6","1","10","144","154","6","56","344","300","13"
"2066","1199","989","7","981","4","6","3","19","140","137","4","61","340","262","5"
"2067","1321","1037","10","1019","5","7","2","13","86","153","8","54","320","363","8"
"2068","1398","1119","11","1098","8","2","4","18","83","145","4","50","315","452","17"
"2069","1398","1117","21","1091","2","14","1","20","100","181","6","59","298","400","10"
"2070","1674","1381","17","1361","6","8","1","11","170","197","12","77","406","460","13"
"2071","1655","1342","14","1324","6","13","1","21","105","207","3","57","376","522","13"
"2072","1591","1283","19","1257","5","7","1","15","95","197","8","57","302","555","15"
"2073","1555","1305","8","1295","5","12","2","15","110","212","2","46","393","484","14"
"2074","1613","1355","7","1332","6","7","2","5","111","219","12","51","376","529","14"
"2075","1702","1266","20","1241","2","17","3","14","132","141","7","57","313","536","19"
"2076","1815","1410","20","1382","10","17","1","17","98","235","1","49","341","595","18"
